FileID,Channel,First_index,Last_index,NumRPeaks,Run,SetInSNR,ActInSNR,SignalVar,NoiseVar,OutSNR_PriorPhaseBased,OutSNR_PostPhaseBased,OutSNR_PriorTimeBased,OutSNR_PostTimeBased,OutSNR_PriorPhaseBasedFullCov,OutSNR_PostPhaseBasedFullCov
sel100m.mat,1,1,2500,13,1,30,30.0745682602379,456.124725629305,0.448359926305256,8.21747409767935,30.597358104661,15.7971359310852,30.4153158425104,15.1247715196829,17.840758043735
sel100m.mat,2,1,2500,13,1,30,29.4061474202343,148.919507480482,0.170740618063102,6.69391263138263,29.4906806077736,13.1007552741474,29.5030548201118,12.9032706176347,15.4459150698668
