C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV
-24.4739,-33.4515,-52.3997,-43.5418,-27.4716,-12.5204,5.4658,45.5455,27.4321,6.5048,22.4908,8.6335,265.5247,-52.4232,-23.364,-51.4137,-38.4827,26.2062,-48.2648,-24.5779,7.6248,-2.5008
-17.449,-25.5334,-43.2352,-33.7261,-23.4653,-5.5115,13.5273,54.4413,38.3319,13.5629,32.4856,18.2831,-116.5003,-45.2175,-13.533,-42.2499,-28.672,39.3111,-42.3653,-13.4395,34.4093,20.3875
-16.5328,-20.4947,-42.5806,-31.763,-20.4606,-3.502,19.5735,57.5038,43.7819,15.4879,37.5149,24.3776,-357.5151,-44.5624,-10.2559,-39.6316,-26.7099,46.5189,-42.3653,-8.853,58.5806,30.1967
-23.5576,-27.4872,-55.6727,-42.2331,-23.4653,-9.4816,11.5119,47.4413,34.6987,8.558,27.52,16.2516,-25.5283,-53.7333,-19.4316,-48.7955,-38.4827,36.6901,-55.4752,-17.3707,67.7265,20.3875
-26.4592,-33.4515,-62.2188,-47.4681,-27.4716,-13.5006,6.4735,41.4622,30.4598,5.4781,22.4908,9.6492,280.5075,-59.6289,-23.364,-53.3774,-45.6771,30.7929,-63.3411,-23.2675,77.5257,10.5782
-21.5723,-26.4589,-55.6727,-41.5787,-23.4653,-8.5013,13.5273,49.483,40.7541,10.483,29.4935,17.2673,5.5126,-54.3884,-15.4992,-46.8318,-37.8286,39.3111,-59.4082,-14.7499,112.1496,21.6954
-18.518,-18.5409,-49.7813,-36.3437,-20.4606,-4.4823,21.5889,55.4621,48.6263,15.4879,36.4963,26.4091,-353.5006,-50.458,-8.2897,-40.2862,-32.5963,49.1399,-54.8197,-6.2322,167.6784,41.3139
-23.5576,-23.4768,-59.6004,-44.8506,-22.4638,-10.5108,16.5504,47.4413,41.3597,11.5096,29.4935,21.3303,-148.4731,-55.6985,-14.8438,-46.8318,-39.7908,42.5874,-62.6856,-14.7499,203.6088,45.2376
-29.5135,-33.4515,-68.7649,-53.3575,-26.4701,-16.4904,7.4812,38.5456,32.2765,6.5048,19.4987,10.665,251.4739,-63.5593,-24.6748,-53.3774,-49.6014,29.4824,-69.2405,-25.2331,197.7292,13.194
-25.5429,-30.4694,-61.5642,-48.7768,-24.4669,-13.5006,10.5043,44.5247,35.3042,9.4564,24.5279,14.728,123.511,-58.3188,-20.7424,-48.7955,-43.715,33.4139,-63.3411,-22.6123,193.1563,2.7308
-18.518,-22.5513,-50.4359,-39.6155,-20.4606,-5.5115,19.5735,53.5663,44.3874,14.4612,34.5228,23.3618,-305.5414,-49.8029,-12.2222,-41.5953,-32.5963,43.2426,-51.5422,-13.4395,172.2513,-3.8087
-20.5033,-25.5334,-54.3635,-44.8506,-20.4606,-9.4816,16.5504,50.5038,38.3319,13.5629,31.5307,20.3146,-264.5359,-51.7681,-15.4992,-43.559,-34.5584,39.3111,-52.8532,-17.3707,122.6021,-27.351
-25.5429,-34.4798,-64.8372,-53.3575,-24.4669,-14.4809,6.4735,40.4414,27.4321,6.5048,21.4722,9.6492,180.5029,-57.6637,-24.6748,-51.4137,-44.3691,25.5509,-61.3746,-28.5091,73.6061,-49.5853
-25.5429,-32.526,-61.5642,-51.3944,-25.4685,-15.5101,6.4735,40.4414,27.4321,6.5048,20.5173,7.6177,225.5229,-56.3536,-23.364,-50.7592,-44.3691,25.5509,-59.4082,-26.5435,54.6609,-45.6616
-18.518,-24.5051,-49.7813,-39.6155,-20.4606,-7.5211,15.5427,50.5038,38.3319,13.5629,31.5307,18.2831,-212.4904,-48.4928,-13.533,-40.2862,-33.2503,38.6559,-50.2313,-15.4051,48.7814,-24.7352
-18.518,-22.5513,-48.4721,-39.6155,-19.4591,-6.4918,16.5504,50.5038,38.3319,14.4612,33.5042,19.2988,-338.5178,-47.8377,-12.2222,-38.3225,-32.5963,40.6216,-49.5758,-14.7499,29.183,-20.8115
-24.4739,-32.526,-61.5642,-50.74,-23.4653,-13.5006,6.4735,40.4414,26.221,7.5314,21.4722,8.6335,70.5336,-55.6985,-21.3978,-47.4864,-43.715,26.2062,-58.7527,-26.5435,1.7453,-33.2365
-26.4592,-36.5365,-62.2188,-51.3944,-24.4669,-17.5197,1.435,36.5039,24.4043,4.4515,16.5066,3.5547,273.4821,-57.6637,-23.364,-48.7955,-44.3691,23.5852,-60.7191,-28.5091,-10.667,-35.8523
-19.4343,-27.4872,-51.7451,-40.2699,-20.4606,-8.5013,10.5043,47.4413,36.5153,9.4564,27.52,13.7122,-85.5311,-49.8029,-14.8438,-40.2862,-34.5584,34.7244,-52.8532,-17.3707,-0.21457,-19.5036
-15.4637,-22.5513,-47.8174,-37.6524,-16.5454,-5.5115,14.535,52.5455,40.7541,12.5363,31.5307,19.2988,-361.5296,-45.2175,-9.6005,-35.7043,-28.672,40.6216,-48.2648,-12.7843,5.665,-10.3482
-20.5033,-29.5439,-57.6366,-45.505,-19.4591,-11.4911,7.4812,43.5039,31.6709,7.5314,24.5279,10.665,-55.4938,-50.458,-16.81,-41.5953,-36.5205,32.7586,-55.4752,-20.6467,-7.4006,-22.7733
-24.4739,-35.5081,-61.5642,-50.74,-22.4638,-14.4809,0.42735,38.5456,24.4043,3.5532,16.5066,2.539,279.5039,-55.6985,-21.3978,-46.8318,-42.4069,24.2404,-59.4082,-26.5435,-16.5466,-29.3128
-18.518,-29.5439,-51.7451,-41.5787,-19.4591,-9.4816,6.4735,47.4413,32.2765,8.558,24.5279,9.6492,35.4782,-49.8029,-14.8438,-39.6316,-34.5584,33.4139,-51.5422,-18.6811,-7.4006,-17.5417
-13.4785,-21.523,-43.2352,-34.3805,-15.5438,-4.4823,14.535,55.4621,40.7541,12.5363,32.4856,16.2516,-344.5396,-41.2871,-6.3235,-32.4315,-26.7099,42.5874,-43.6763,-9.5082,3.7051,-6.4245
-15.4637,-25.5334,-50.4359,-39.6155,-18.4575,-8.5013,9.4966,49.483,33.4876,8.558,27.52,12.6965,-176.5031,-45.2175,-12.2222,-37.6679,-31.2882,37.3454,-46.2983,-14.7499,-3.481,-13.618
-21.5723,-34.4798,-58.2912,-46.8137,-22.4638,-14.4809,1.435,41.4622,26.221,2.5265,18.4801,2.539,240.5057,-51.7681,-19.4316,-45.5227,-39.7908,27.5167,-52.8532,-23.2675,-14.5867,-24.7352
-17.449,-30.4694,-50.4359,-39.6155,-20.4606,-11.4911,4.4581,47.4413,32.2765,5.4781,23.5093,7.6177,155.4838,-47.8377,-15.4992,-41.5953,-33.2503,33.4139,-46.2983,-17.3707,-7.4006,-15.5799
-11.4932,-20.4947,-38.6529,-29.7999,-16.5454,-4.4823,15.5427,58.5246,43.7819,11.5096,34.5228,17.2673,-282.5295,-39.3219,-5.6681,-32.4315,-23.4397,46.5189,-36.4659,-6.2322,7.6248,-0.53898
-13.4785,-21.523,-42.5806,-33.7261,-17.4559,-4.4823,13.5273,56.483,41.3597,10.483,32.4856,18.2831,-284.5368,-41.2871,-6.3235,-34.3951,-24.7478,46.5189,-38.4324,-8.853,5.665,-2.5008
-20.5033,-30.4694,-53.7089,-42.2331,-21.4622,-13.5006,4.4581,45.5455,30.4598,4.4515,21.4722,6.602,162.5092,-49.8029,-15.4992,-43.559,-36.5205,33.4139,-47.6093,-18.6811,-8.7072,-18.8496
-19.4343,-31.4977,-52.3997,-41.5787,-22.4638,-13.5006,2.4427,46.5663,29.2487,4.4515,21.4722,3.5547,247.5311,-49.8029,-15.4992,-42.2499,-35.2125,32.7586,-46.2983,-18.6811,-9.3605,-18.8496
-13.4785,-22.5513,-41.2714,-31.763,-17.4559,-6.4918,12.5196,56.483,40.7541,10.483,31.5307,13.7122,-181.5212,-42.5972,-6.3235,-33.7406,-25.4018,43.2426,-36.4659,-7.5426,3.7051,-3.8087
-12.5622,-20.4947,-41.2714,-31.763,-16.5454,-5.5115,15.5427,57.5038,40.7541,11.5096,33.5042,16.2516,-345.4715,-41.2871,-5.6681,-33.7406,-24.7478,45.2084,-37.7769,-7.5426,5.665,-2.5008
-18.518,-30.4694,-54.3635,-43.5418,-20.4606,-12.5204,6.4735,46.5663,29.2487,5.4781,23.5093,6.602,38.4891,-49.8029,-16.81,-44.2136,-36.5205,31.4482,-47.6093,-18.6811,-8.7072,-19.5036
-21.5723,-35.5081,-57.6366,-46.8137,-22.4638,-14.4809,1.435,44.5247,25.6154,2.5265,19.4987,0.50751,280.5075,-52.4232,-19.4316,-47.4864,-40.4448,25.5509,-51.5422,-24.5779,-15.24,-25.3891
-15.4637,-27.4872,-46.5082,-36.3437,-19.4591,-8.5013,8.4889,53.5663,34.6987,9.4564,28.4749,8.6335,-51.4793,-44.5624,-12.2222,-39.6316,-31.2882,34.7244,-40.3989,-15.4051,-2.8277,-11.6561
-12.5622,-22.5513,-41.2714,-32.4174,-16.5454,-5.5115,13.5273,59.5454,39.543,12.5363,34.5228,15.7437,-361.5296,-39.3219,-7.6343,-34.3951,-24.7478,42.5874,-35.8104,-9.5082,5.665,-4.4627
-17.449,-30.4694,-51.7451,-41.5787,-20.4606,-10.5108,6.4735,49.483,30.4598,7.5314,26.5014,7.6177,-85.5311,-46.5276,-15.4992,-42.2499,-32.5963,32.7586,-43.6763,-18.6811,-5.4408,-18.8496
-20.5033,-38.4903,-57.6366,-47.4681,-23.4653,-15.5101,-0.58034,43.5039,22.5877,2.5265,18.4801,-1.524,272.4785,-53.7333,-22.7086,-49.4501,-39.7908,21.6194,-49.5758,-26.5435,-16.5466,-28.6589
-16.5328,-34.4798,-50.4359,-41.5787,-21.4622,-11.4911,4.4581,50.5038,29.2487,7.5314,24.5279,4.5705,65.5154,-48.4928,-17.4654,-43.559,-32.5963,28.1719,-42.3653,-20.6467,-8.7072,-18.8496
-11.4932,-25.5334,-40.6168,-33.7261,-17.4559,-3.502,11.5119,58.5246,37.7264,11.5096,33.5042,12.6965,-335.5069,-40.632,-9.6005,-34.3951,-23.4397,38.6559,-33.8439,-12.7843,3.7051,-7.7324
-13.4785,-29.5439,-47.8174,-39.6155,-18.4575,-7.5211,8.4889,52.5455,31.6709,8.558,28.4749,9.6492,-206.4686,-43.2523,-14.8438,-38.3225,-27.3639,33.4139,-38.4324,-17.3707,-2.8277,-15.5799
-18.518,-38.4903,-55.6727,-46.8137,-22.4638,-13.5006,-0.58034,44.5247,22.5877,3.5532,19.4987,-0.50824,224.5193,-49.8029,-22.7086,-45.5227,-35.2125,22.2747,-45.6428,-26.5435,-14.5867,-28.6589
-15.4637,-35.5081,-48.4721,-41.5787,-20.4606,-11.4911,1.435,48.4622,26.221,4.4515,21.4722,0.50751,179.4992,-44.5624,-18.7762,-40.2862,-32.5963,26.2062,-39.7434,-22.6123,-10.667,-22.7733
-8.4389,-24.5051,-34.7253,-30.4542,-15.5438,-4.4823,10.5043,59.5454,36.5153,11.5096,33.5042,11.6807,-262.5286,-34.7364,-8.2897,-29.8132,-21.4776,40.6216,-28.6,-10.8186,4.3584,-7.7324
-8.4389,-25.5334,-36.6891,-31.763,-15.5438,-5.5115,9.4966,57.5038,35.3042,9.4564,31.5307,10.665,-307.4769,-34.7364,-8.2897,-29.8132,-22.7856,38.6559,-29.2555,-11.4738,4.3584,-9.6943
-14.5475,-35.5081,-47.8174,-41.5787,-19.4591,-12.5204,0.42735,46.5663,23.7988,3.5532,20.5173,-0.50824,134.4792,-40.632,-16.81,-38.3225,-31.2882,26.2062,-39.7434,-23.2675,-10.667,-25.3891
-14.5475,-35.5081,-46.5082,-39.6155,-19.4591,-13.5006,-1.588,44.5247,23.7988,1.4999,17.5252,-3.5555,260.5066,-41.2871,-15.4992,-38.3225,-32.5963,23.5852,-38.4324,-23.2675,-13.2802,-27.351
-8.4389,-25.5334,-33.4161,-28.4911,-13.5407,-7.5211,7.4812,54.4413,32.2765,8.558,26.5014,5.5862,-149.4767,-32.7712,-6.3235,-26.5404,-22.7856,37.3454,-27.289,-11.4738,0.43871,-12.3101
-7.5226,-22.5513,-31.4523,-26.528,-11.5375,-6.4918,10.5043,56.483,35.3042,10.483,28.4749,8.6335,-350.4897,-29.4959,-4.3573,-24.5767,-19.5154,40.6216,-25.3225,-8.853,4.3584,-8.3864
-13.4785,-31.4977,-42.5806,-37.6524,-15.5438,-13.5006,2.4427,46.5663,25.6154,2.5265,18.4801,-0.50824,8.5235,-37.3567,-13.533,-33.7406,-28.672,29.4824,-34.4994,-18.6811,-10.667,-25.3891
-17.449,-36.5365,-45.8536,-39.6155,-18.4575,-17.5197,-3.6034,41.4622,21.3766,-1.4517,12.4959,-6.6027,284.5221,-40.632,-16.81,-37.6679,-33.2503,23.5852,-37.7769,-22.6123,-17.8531,-31.2747
-11.4932,-27.4872,-34.7253,-29.7999,-14.5422,-11.4911,3.4504,51.5246,31.6709,4.4515,21.4722,0.50751,-20.5101,-32.7712,-8.2897,-28.5041,-25.4018,33.4139,-28.6,-13.4395,-4.7875,-17.5417
-7.5226,-22.5513,-28.8338,-24.5648,-10.536,-6.4918,9.4966,57.5038,36.5153,9.4564,27.52,8.6335,-355.5078,-26.2206,-3.7019,-21.3039,-18.8614,40.6216,-24.6671,-7.5426,2.3986,-10.3482
-11.4932,-28.5156,-36.6891,-32.4174,-13.5407,-11.4911,3.4504,49.483,28.6432,3.5532,19.4987,0.50751,-112.4857,-32.7712,-8.2897,-28.5041,-25.4018,32.7586,-30.5665,-14.7499,-7.4006,-23.4273
-17.449,-37.462,-45.8536,-40.2699,-16.5454,-18.4999,-4.6111,41.4622,20.7711,-2.4784,10.5224,-8.6342,270.4712,-38.6668,-15.4992,-34.3951,-33.2503,21.6194,-38.4324,-23.2675,-19.813,-35.8523
-14.5475,-31.4977,-36.6891,-32.4174,-14.5422,-13.5006,0.42735,46.5663,26.221,1.4999,15.488,-3.5555,100.4991,-33.4263,-11.5668,-29.8132,-26.7099,27.5167,-32.533,-17.3707,-13.2802,-28.6589
-8.4389,-21.523,-26.2154,-24.5648,-10.536,-8.5013,8.4889,56.483,34.6987,5.4781,24.5279,5.5862,-317.5132,-26.2206,-2.3911,-20.6493,-17.5533,39.3111,-24.6671,-8.853,-2.8277,-16.2338
-8.4389,-23.4768,-31.4523,-27.8367,-11.5375,-11.4911,6.4735,51.5246,31.6709,3.5532,19.4987,3.5547,-233.495,-28.8409,-4.3573,-22.613,-21.4776,35.3796,-28.6,-11.4738,-8.7072,-24.7352
-15.4637,-32.526,-40.6168,-35.6893,-14.5422,-19.4802,-2.5957,40.4414,20.7711,-2.4784,8.4852,-8.6342,209.5365,-35.3915,-12.2222,-30.4678,-30.6342,23.5852,-37.7769,-22.6123,-23.7326,-40.43
-13.4785,-31.4977,-36.6891,-32.4174,-14.5422,-18.4999,-2.5957,41.4622,22.5877,-1.4517,8.4852,-7.6185,211.4721,-33.4263,-9.6005,-27.8495,-28.672,24.2404,-35.8104,-19.3363,-22.4261,-38.4682
-6.4536,-21.523,-24.2516,-22.6017,-8.5328,-11.4911,6.4735,51.5246,32.2765,3.5532,18.4801,0.50751,-235.5022,-25.5655,-0.42494,-18.6857,-18.8614,36.6901,-25.3225,-9.5082,-9.3605,-25.3891
-7.5226,-21.523,-27.5246,-26.528,-8.5328,-11.4911,7.4812,49.483,31.6709,3.5532,19.4987,1.5233,-322.5314,-24.2554,-2.3911,-18.6857,-20.8235,36.6901,-27.289,-11.4738,-12.6269,-28.6589
-15.4637,-31.4977,-40.6168,-37.6524,-12.5391,-20.5094,-2.5957,38.5456,18.3489,-3.505,6.5117,-9.65,106.5209,-33.4263,-13.533,-28.5041,-32.5963,21.6194,-38.4324,-24.5779,-30.2654,-48.2774
-16.5328,-35.5081,-40.6168,-38.3068,-14.5422,-22.519,-5.6188,35.4831,16.5322,-4.5317,3.5196,-13.713,269.4676,-36.7016,-15.4992,-30.4678,-36.5205,17.6879,-39.7434,-27.8539,-36.7982,-52.8551
-10.4242,-26.4589,-28.8338,-28.4911,-10.536,-16.4904,3.4504,44.5247,27.4321,1.4999,12.4959,-4.5712,-113.4894,-27.5307,-6.3235,-22.613,-27.3639,29.4824,-31.222,-17.3707,-24.3859,-40.43
-9.5079,-23.4768,-28.8338,-27.8367,-8.5328,-14.4809,7.4812,46.5663,30.4598,2.5265,15.488,-0.50824,-356.5115,-27.5307,-3.7019,-20.6493,-25.4018,32.7586,-29.2555,-15.4051,-21.7728,-38.4682
-15.4637,-31.4977,-40.6168,-37.6524,-12.5391,-21.4897,-0.58034,35.4831,20.7711,-3.505,5.4931,-8.6342,-22.5174,-34.7364,-13.533,-28.5041,-35.2125,20.3089,-40.3989,-26.5435,-38.7581,-56.7788
-20.5033,-38.4903,-44.5444,-42.2331,-14.5422,-25.5088,-6.6265,29.5039,13.5045,-7.4832,-0.49106,-17.2681,283.5184,-40.632,-19.4316,-33.7406,-40.4448,11.7907,-46.2983,-33.7507,-48.5573,-67.242
-14.5475,-33.4515,-34.7253,-33.7261,-12.5391,-20.5094,-0.58034,38.5456,20.7711,-2.4784,6.5117,-12.6972,8.5235,-34.7364,-12.2222,-25.2313,-32.5963,19.6537,-39.7434,-24.5779,-41.3712,-57.4327
-10.4242,-27.4872,-27.5246,-27.8367,-8.5328,-15.5101,5.4658,44.5247,25.6154,1.4999,13.5145,-4.5712,-353.5006,-28.8409,-7.6343,-19.3402,-25.4018,27.5167,-33.8439,-18.6811,-33.5318,-50.2393
-14.5475,-32.526,-34.7253,-34.3805,-10.536,-20.5094,-1.588,38.5456,18.3489,-3.505,6.5117,-10.6657,-147.4695,-31.4611,-13.533,-25.2313,-32.5963,19.6537,-38.4324,-26.5435,-44.6376,-63.3183
