C3,C4,O1,O2,Cz,F3,F4,F7,F8,Fz,Fp1,Fp2,Fpz,P3,P4,Pz,T3,T4,T5,T6,ECGL,ECGR
-171.5429,-73.53649999999999,-274.6366,-266.74,-387.4732,-117.5108,-32.5342,253.5039,45.5877,48.5314,164.5093,1.6492000000000004,161.5111,-26.7333,-112.6072,-328.3411,-12.752899999999997,23.6194,-137.57580000000002,-123.7851,106.519,-142.4654
-169.5576,-72.5081,-269.3997,-262.8137,-386.4716,-116.4816,-32.5342,255.5455,48.6154,49.558,164.5093,1.6492000000000004,164.522,-24.768099999999997,-109.3302,-324.4137,-10.790799999999997,25.5852,-134.29829999999998,-120.5091,109.78543,-134.618
-163.449,-62.5334,-256.3075,-250.38049999999998,-382.4653,-109.5218,-22.4573,267.5038,60.7264,55.4612,175.5228,12.314599999999999,-280.5168,-14.287100000000002,-98.8438,-314.5953,1.636099999999999,39.3454,-123.8104,-107.4051,121.5445,-116.3074
-161.4637,-59.5513,-257.6168,-250.38049999999998,-380.4622,-108.4925,-21.4496,266.483,60.7264,56.487899999999996,176.4777,14.3461,-366.4706,-14.287100000000002,-97.533,-314.5953,3.5981999999999985,41.3111,-122.49940000000001,-105.4395,115.665,-118.2692
-169.5576,-69.52600000000001,-268.7451,-260.8506,-385.4701,-117.5108,-30.5188,255.5455,51.6432,49.558,166.4829,3.6807,61.5064,-22.8029,-105.3978,-323.7592,-7.520499999999998,29.5167,-133.6428,-117.23310000000001,105.2125,-131.3482
-170.47390000000001,-70.45150000000001,-269.3997,-259.5418,-386.4716,-119.5204,-32.5342,255.5455,50.4321,47.5048,163.4908,0.6334999999999997,224.5247,-25.4232,-107.364,-324.4137,-9.482700000000001,28.2062,-136.2648,-116.5779,117.6248,-123.5008
-163.449,-62.5334,-260.2352,-249.7261,-382.4653,-112.5115,-24.4727,264.4413,61.3319,54.5629,173.4856,10.283100000000001,-157.50029999999998,-18.2175,-97.533,-315.2499,0.3279999999999994,41.3111,-130.3653,-105.4395,144.4093,-100.6125
-162.5328,-57.4947,-259.5806,-247.763,-379.4606,-110.502,-18.4265,267.5038,66.78190000000001,56.487899999999996,178.5149,16.3776,-398.5151,-17.562399999999997,-94.2559,-312.6316,2.290099999999999,48.5189,-130.3653,-100.853,168.5806,-90.80330000000001
-169.5576,-64.4872,-272.6727,-258.2331,-382.4653,-116.4816,-26.4881,257.4413,57.6987,49.558,168.52,8.2516,-66.5283,-26.7333,-103.4316,-321.7955,-9.482700000000001,38.6901,-143.4752,-109.3707,177.7265,-100.6125
-172.4592,-70.45150000000001,-279.2188,-263.4681,-386.4716,-120.5006,-31.5265,251.4622,53.4598,46.4781,163.4908,1.6492000000000004,239.5075,-32.6289,-107.364,-326.3774,-16.677100000000003,32.7929,-151.34109999999998,-115.2675,187.5257,-110.4218
-167.57229999999998,-63.4589,-272.6727,-257.5787,-382.4653,-115.5013,-24.4727,259.483,63.7541,51.483000000000004,170.4935,9.267299999999999,-35.4874,-27.388399999999997,-99.4992,-319.8318,-8.828600000000002,41.3111,-147.4082,-106.7499,222.14960000000002,-99.3046
-164.518,-55.5409,-266.7813,-252.3437,-379.4606,-111.4823,-16.4111,265.4621,71.6263,56.487899999999996,177.4963,18.4091,-394.5006,-23.458,-92.2897,-313.2862,-3.5962999999999994,51.1399,-142.8197,-98.2322,277.6784,-79.68610000000001
-169.5576,-60.4768,-276.6004,-260.8506,-381.4638,-117.5108,-21.4496,257.4413,64.3597,52.5096,170.4935,13.330300000000001,-189.4731,-28.698500000000003,-98.8438,-319.8318,-10.790799999999997,44.5874,-150.6856,-106.7499,313.6088,-75.7624
-175.5135,-70.45150000000001,-285.7649,-269.3575,-385.4701,-123.4904,-30.5188,248.5456,55.2765,47.5048,160.49869999999999,2.664999999999999,210.4739,-36.5593,-108.6748,-326.3774,-20.601399999999998,31.4824,-157.2405,-117.23310000000001,307.7292,-107.806
-171.5429,-67.46940000000001,-278.5642,-264.7768,-383.4669,-120.5006,-27.4957,254.5247,58.3042,50.4564,165.5279,6.728,82.511,-31.318800000000003,-104.7424,-321.7955,-14.715000000000003,35.4139,-151.34109999999998,-114.6123,303.1563,-118.2692
-164.518,-59.5513,-267.4359,-255.6155,-379.4606,-112.5115,-18.4265,263.5663,67.3874,55.4612,175.5228,15.361799999999999,-346.5414,-22.8029,-96.2222,-314.5953,-3.5962999999999994,45.2426,-139.5422,-105.4395,282.2513,-124.8087
-166.5033,-62.5334,-271.3635,-260.8506,-379.4606,-116.4816,-21.4496,260.5038,61.3319,54.5629,172.5307,12.314599999999999,-305.5359,-24.768099999999997,-99.4992,-316.55899999999997,-5.558399999999999,41.3111,-140.85320000000002,-109.3707,232.6021,-148.351
-171.5429,-71.4798,-281.8372,-269.3575,-383.4669,-121.4809,-31.5265,250.4414,50.4321,47.5048,162.4722,1.6492000000000004,139.5029,-30.6637,-108.6748,-324.4137,-15.369100000000003,27.5509,-149.3746,-120.5091,183.6061,-170.5853
-171.5429,-69.52600000000001,-278.5642,-267.3944,-384.4685,-122.5101,-31.5265,250.4414,50.4321,47.5048,161.5173,-0.38229999999999986,184.5229,-29.3536,-107.364,-323.7592,-15.369100000000003,27.5509,-147.4082,-118.5435,164.6609,-166.6616
-164.518,-61.5051,-266.7813,-255.6155,-379.4606,-114.5211,-22.4573,260.5038,61.3319,54.5629,172.5307,10.283100000000001,-253.4904,-21.492800000000003,-97.533,-313.2862,-4.250300000000003,40.6559,-138.2313,-107.4051,158.7814,-145.7352
-164.518,-59.5513,-265.4721,-255.6155,-378.4591,-113.4918,-21.4496,260.5038,61.3319,55.4612,174.5042,11.2988,-379.5178,-20.837699999999998,-96.2222,-311.3225,-3.5962999999999994,42.6216,-137.57580000000002,-106.7499,139.183,-141.8115
-170.47390000000001,-69.52600000000001,-278.5642,-266.74,-382.4653,-120.5006,-31.5265,250.4414,49.221000000000004,48.5314,162.4722,0.6334999999999997,29.533600000000007,-28.698500000000003,-105.3978,-320.4864,-14.715000000000003,28.2062,-146.7527,-118.5435,111.7453,-154.2365
-172.4592,-73.53649999999999,-279.2188,-267.3944,-383.4669,-124.5197,-36.565,246.5039,47.4043,45.4515,157.5066,-4.4453,232.4821,-30.6637,-107.364,-321.7955,-15.369100000000003,25.5852,-148.7191,-120.5091,99.333,-156.8523
-165.4343,-64.4872,-268.7451,-256.2699,-379.4606,-115.5013,-27.4957,257.4413,59.5153,50.4564,168.52,5.712199999999999,-126.5311,-22.8029,-98.8438,-313.2862,-5.558399999999999,36.7244,-140.85320000000002,-109.3707,109.78543,-140.5036
-161.4637,-59.5513,-264.8174,-253.6524,-375.5454,-112.5115,-23.465,262.5455,63.7541,53.5363,172.5307,11.2988,-402.5296,-18.2175,-93.6005,-308.7043,0.3279999999999994,42.6216,-136.2648,-104.7843,115.665,-131.3482
-166.5033,-66.54390000000001,-274.6366,-261.505,-378.4591,-118.4911,-30.5188,253.5039,54.6709,48.5314,165.5279,2.664999999999999,-96.4938,-23.458,-100.81,-314.5953,-7.520499999999998,34.7586,-143.4752,-112.6467,102.5994,-143.7733
-170.47390000000001,-72.5081,-278.5642,-266.74,-381.4638,-121.4809,-37.57265,248.5456,47.4043,44.5532,157.5066,-5.461,238.5039,-28.698500000000003,-105.3978,-319.8318,-13.4069,26.2404,-147.4082,-118.5435,93.4534,-150.3128
-164.518,-66.54390000000001,-268.7451,-257.5787,-378.4591,-116.4816,-31.5265,257.4413,55.2765,49.558,165.5279,1.6492000000000004,-5.521799999999999,-22.8029,-98.8438,-312.6316,-5.558399999999999,35.4139,-139.5422,-110.6811,102.5994,-138.5417
-159.4785,-58.522999999999996,-260.2352,-250.38049999999998,-374.5438,-111.4823,-23.465,265.4621,63.7541,53.5363,173.4856,8.2516,-385.5396,-14.287100000000002,-90.3235,-305.4315,2.290099999999999,44.5874,-131.6763,-101.5082,113.7051,-127.4245
-161.4637,-62.5334,-267.4359,-255.6155,-377.4575,-115.5013,-28.5034,259.483,56.4876,49.558,168.52,4.6965,-217.5031,-18.2175,-96.2222,-310.66790000000003,-2.2882,39.3454,-134.29829999999998,-106.7499,106.519,-134.618
-167.57229999999998,-71.4798,-275.2912,-262.8137,-381.4638,-121.4809,-36.565,251.4622,49.221000000000004,43.5265,159.4801,-5.461,199.5057,-24.768099999999997,-103.4316,-318.5227,-10.790799999999997,29.5167,-140.85320000000002,-115.2675,95.41329999999999,-145.7352
-163.449,-67.46940000000001,-267.4359,-255.6155,-379.4606,-118.4911,-33.5419,257.4413,55.2765,46.4781,164.5093,-0.38229999999999986,114.4838,-20.837699999999998,-99.4992,-314.5953,-4.250300000000003,35.4139,-134.29829999999998,-109.3707,102.5994,-136.5799
-157.4932,-57.4947,-255.6529,-245.7999,-375.5454,-111.4823,-22.4573,268.5246,66.78190000000001,52.5096,175.5228,9.267299999999999,-323.5295,-12.3219,-89.6681,-305.4315,5.560300000000002,48.5189,-124.4659,-98.2322,117.6248,-121.53898
-159.4785,-58.522999999999996,-259.5806,-249.7261,-376.4559,-111.4823,-24.4727,266.483,64.3597,51.483000000000004,173.4856,10.283100000000001,-325.5368,-14.287100000000002,-90.3235,-307.3951,4.252199999999998,48.5189,-126.4324,-100.853,115.665,-123.5008
-166.5033,-67.46940000000001,-270.70889999999997,-258.2331,-380.4622,-120.5006,-33.5419,255.5455,53.4598,45.4515,162.4722,-1.3979999999999997,121.50919999999999,-22.8029,-99.4992,-316.55899999999997,-7.520499999999998,35.4139,-135.6093,-110.6811,101.2928,-139.8496
-165.4343,-68.4977,-269.3997,-257.5787,-381.4638,-120.5006,-35.5573,256.5663,52.2487,45.4515,162.4722,-4.4453,206.5311,-22.8029,-99.4992,-315.2499,-6.212499999999999,34.7586,-134.29829999999998,-110.6811,100.6395,-139.8496
-159.4785,-59.5513,-258.27139999999997,-247.763,-376.4559,-113.4918,-25.4804,266.483,63.7541,51.483000000000004,172.5307,5.712199999999999,-222.5212,-15.5972,-90.3235,-306.7406,3.5981999999999985,45.2426,-124.4659,-99.5426,113.7051,-124.8087
-158.5622,-57.4947,-258.27139999999997,-247.763,-375.5454,-112.5115,-22.4573,267.5038,63.7541,52.5096,174.5042,8.2516,-386.4715,-14.287100000000002,-89.6681,-306.7406,4.252199999999998,47.2084,-125.7769,-99.5426,115.665,-123.5008
-164.518,-67.46940000000001,-271.3635,-259.5418,-379.4606,-119.5204,-31.5265,256.5663,52.2487,46.4781,164.5093,-1.3979999999999997,-2.5108999999999995,-22.8029,-100.81,-317.2136,-7.520499999999998,33.4482,-135.6093,-110.6811,101.2928,-140.5036
-167.57229999999998,-72.5081,-274.6366,-262.8137,-381.4638,-121.4809,-36.565,254.5247,48.6154,43.5265,160.49869999999999,-7.49249,239.5075,-25.4232,-103.4316,-320.4864,-11.4448,27.5509,-139.5422,-116.5779,94.76,-146.38909999999998
-161.4637,-64.4872,-263.5082,-252.3437,-378.4591,-115.5013,-29.5111,263.5663,57.6987,50.4564,169.4749,0.6334999999999997,-92.4793,-17.562399999999997,-96.2222,-312.6316,-2.2882,36.7244,-128.3989,-107.4051,107.1723,-132.6561
-158.5622,-59.5513,-258.27139999999997,-248.4174,-375.5454,-112.5115,-24.4727,269.5454,62.543,53.5363,175.5228,7.7437000000000005,-402.5296,-12.3219,-91.6343,-307.3951,4.252199999999998,44.5874,-123.8104,-101.5082,115.665,-125.4627
-163.449,-67.46940000000001,-268.7451,-257.5787,-379.4606,-117.5108,-31.5265,259.483,53.4598,48.5314,167.5014,-0.38229999999999986,-126.5311,-19.5276,-99.4992,-315.2499,-3.5962999999999994,34.7586,-131.6763,-110.6811,104.5592,-139.8496
-166.5033,-75.49029999999999,-274.6366,-263.4681,-382.4653,-122.5101,-38.58034,253.5039,45.5877,43.5265,159.4801,-9.524000000000001,231.4785,-26.7333,-106.7086,-322.4501,-10.790799999999997,23.6194,-137.57580000000002,-118.5435,93.4534,-149.6589
-162.5328,-71.4798,-267.4359,-257.5787,-380.4622,-118.4911,-33.5419,260.5038,52.2487,48.5314,165.5279,-3.4295,24.5154,-21.492800000000003,-101.4654,-316.55899999999997,-3.5962999999999994,30.1719,-130.3653,-112.6467,101.2928,-139.8496
-157.4932,-62.5334,-257.6168,-249.7261,-376.4559,-110.502,-26.4881,268.5246,60.7264,52.5096,174.5042,4.6965,-376.5069,-13.631999999999998,-93.6005,-307.3951,5.560300000000002,40.6559,-121.84389999999999,-104.7843,113.7051,-128.7324
-159.4785,-66.54390000000001,-264.8174,-255.6155,-377.4575,-114.5211,-29.5111,262.5455,54.6709,49.558,169.4749,1.6492000000000004,-247.4686,-16.252299999999998,-98.8438,-311.3225,1.636099999999999,35.4139,-126.4324,-109.3707,107.1723,-136.5799
-164.518,-75.49029999999999,-272.6727,-262.8137,-381.4638,-120.5006,-38.58034,254.5247,45.5877,44.5532,160.49869999999999,-8.50824,183.5193,-22.8029,-106.7086,-318.5227,-6.212499999999999,24.2747,-133.6428,-118.5435,95.41329999999999,-149.6589
-161.4637,-72.5081,-265.4721,-257.5787,-379.4606,-118.4911,-36.565,258.4622,49.221000000000004,45.4515,162.4722,-7.49249,138.4992,-17.562399999999997,-102.7762,-313.2862,-3.5962999999999994,28.2062,-127.74340000000001,-114.6123,99.333,-143.7733
-154.4389,-61.5051,-251.7253,-246.45420000000001,-374.5438,-111.4823,-27.4957,269.5454,59.5153,52.5096,174.5042,3.6807,-303.5286,-7.736400000000003,-92.2897,-302.8132,7.522400000000001,42.6216,-116.6,-102.8186,114.3584,-128.7324
-154.4389,-62.5334,-253.6891,-247.763,-374.5438,-112.5115,-28.5034,267.5038,58.3042,50.4564,172.5307,2.664999999999999,-348.4769,-7.736400000000003,-92.2897,-302.8132,6.214400000000001,40.6559,-117.2555,-103.4738,114.3584,-130.6943
-160.5475,-72.5081,-264.8174,-257.5787,-378.4591,-119.5204,-37.57265,256.5663,46.7988,44.5532,161.5173,-8.50824,93.47919999999999,-13.631999999999998,-100.81,-311.3225,-2.2882,28.2062,-127.74340000000001,-115.2675,99.333,-146.38909999999998
